month,item,quantity,revenue
2026-12,item-0,181,12.47
2026-12,item-1,654,31.38
2026-12,item-2,104,44.35
2026-12,item-3,825,21.38
2026-12,item-4,268,16.79
2026-12,item-5,659,50.69
2026-12,item-6,786,44.22
2026-12,item-7,359,49.69
2026-12,item-8,21,69.59
2026-12,item-9,231,24.07
2026-12,item-10,596,57.11
2026-12,item-11,541,19.83
2026-12,item-12,666,32.59
2026-12,item-13,624,12.64
2026-12,item-14,904,24.54
2026-12,item-15,769,66.33
2026-12,item-16,343,77.84
2026-12,item-17,764,15.00
2026-12,item-18,416,27.36
2026-12,item-19,637,55.24